[0928/125238.258:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[0928/125238.740:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[0928/125238.740:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 55.0.2994.61
[0928/125238.740:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[0928/125238.740:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value gpu-process
[1002/140903.786:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1002/140904.411:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1002/140904.411:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 55.0.2994.61
[1002/140904.411:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1002/140904.411:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value gpu-process
[1012/082725.658:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name plat, discarding value Win64
[1012/082729.265:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name prod, discarding value OperaDesktop
[1012/082729.265:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ver, discarding value 56.0.3051.36
[1012/082729.265:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name channel, discarding value Stable
[1012/082729.265:WARNING:minidump_to_upload_parameters.cc(66)] duplicate annotation name ptype, discarding value gpu-process
